id,modulo,pergunta,opcoes,correta,comentario
T18,Módulo I – Radioproteção,"O coeficiente de atenuação linear dado um HVL de 0,693 cm é:","0,48cm-1|1,00 cm-1|1,44 cm-1|2,08 cm-1|2,71cm-1","0,48cm-1",Comentário: Similar ao T2
T19,Módulo I – Radioproteção,"A espessura de chumbo necessária para reduzir a exposição de uma fonte pontual de Cs137 em 70% (HVL - 0,65 cm) é _____.","0,1cm|b. 0,3cm|c. 0,7 cm|1,1cm|1,4 cm","0,1cm",Comentário: Similar ao T2 sendo
T20,Módulo I – Radioproteção,O fator _______ não é necessário para cálculo de blindagem segundo a NCRP 151,Carga de Trabalho|Uso|Ocupação|Idade dos ocupantes ou trabalhadores|Distância,Carga de Trabalho,
T21,Módulo I – Radioproteção,Um acelerador com IMRT foi recentemente comissionado onde existia linac de 6MV que realizava somente tratamentos 3D conformacionais. A blindagem devido a ____ será ____ .,Fuga; diminuida|Fuga; aumentada|Espalhamento; diminuida|Espalhamento; diminuida|Nêutrons; aumentada,Fuga; diminuida,
T23,Módulo I – Radioproteção,Quantos HVLs são necessários para reduzir a intensidade de um feixe em pelo menos 95%?,2|3|4|5|6,2,
T26,Módulo I – Radioproteção,Para qual curva o primeiro e o segundo HVL seriam os mais próximos em valor à medida que os feixes atravessam um material homogêneo?,A|B|C|Todos têm a mesma diferença entre o primeiro e o segundo HVL.|Não há informações suficientes para responder à pergunta.,A,Comentário: Quando o feixe é monoenergético as HVL`s são constantes o feixe mais estreito representa a situação em que a primeira e a segunda HVL são mais próximas.
T27,Módulo I – Radioproteção,Qual curva veria o maior aumento na CSR com um filtro de baixa energia colocado no feixe?,A|B|C|Nenhum espectro seria afetado.|Não há informações suficientes para responder à pergunta.,A,"Comentário: O espectro A tem a maior proporção de componentes de baixa energia. O espectro B quase não é afetado e C é menos afetado que A, pois as situações em termos de componentes são opostas."
T77,Módulo I – Radioproteção,_____ NÃO é recomendado para blindar nêutrons em um bunker linac.,Concreto|Chumbo|Polietileno|Polietileno Borado|Terra compactada,Concreto,
T75,Módulo I – Radioproteção,"Um levantamento radiométrico de uma área livre com uma câmara de ionização com o feixe direcionado diretamente para uma parede de barreira relata 25 mR h–1. Se o fator de uso (U) for 0,5 para aquela barreira e o feixe estiver ligado por um total de 5 minutos por hora, qual é o mR estimado em qualquer hora neste local?",1 mR em qualquer hora|2 mR em qualquer hora|12 mR em qualquer hora|20 mR em qualquer hora|25 mR em qualquer hora,1 mR em qualquer hora,
T139,Módulo I – Radioproteção,"Em modos de falha e análise de efeitos (FMEA), o número de prioridade de risco (RPN) é definido como _____.",Frequência de ocorrência da falha|Gravidade da falha|Detectabilidade da falha|Todas as afirmativas acima são verdadeiras.|Nenhuma das opções acima é verdadeira.,Frequência de ocorrência da falha,
T140,Módulo I – Radioproteção,Qual dos seguintes é menos apropriado para inclusão no mapa de processo FMEA para IGRT diário?,Enchimento do reto/bexiga diferente do sim|A orientação por imagem se desvia em ≥ 5 mm|Desvio diário da saída da máquina|movimento do paciente após a geração de imagens|Movimento do paciente durante a entrega,Enchimento do reto/bexiga diferente do sim,
T128,Módulo I – Radioproteção,"Em Análises de efeitos de modo de falha (FMEA), uma falha é priorizada de acordo a _____.",Severidade|Frequência|Detectabilidade|Todas acima são verdadeiras|Nenhuma acima é verdadeira,Severidade,
T79,Módulo I – Radioproteção,"Qual resultará na maior diminuição da dose fora de um bunker de acelerador linear, atrás de uma barreira primária de concreto?",dobrar a espessura da barreira|dobrar a distância do acelerador linear|reduzir pela metade o tempo de feixe|adicionar um labirinto|Nenhuma das opções acima é verdadeira.,dobrar a espessura da barreira,
T35,Módulo II – Dosimetria I,Diferentes isótopos do mesmo elemento terão números iguais de ______.,Elétrons|Prótons e elétrons|Nêutrons|Elétrons e nêutrons|Prótons e nêutrons,Elétrons,
T58,Módulo II – Dosimetria I,"Qual das alternativas seguintes é verdadeira? lodo-131 e Iodo-125 ______ Tem propriedades químicas diferentes Ter valores diferentes Z Tenha o mesmo número de nêutrons Nenhuma das alternativas acima T7- 10.  Combine a partícula elementar, como descrito pelas características abaixo, com a descrição que segue. (Respostas podem ser usadas mais de uma vez.) Massa de descanso de carga Carga	Massa de Repouso +1	0,51 MeV +1	938 MeV 0              940 MeV","1	0,51 MeV","1	0,51 MeV",
T135,Módulo II – Dosimetria I,mCi é igual a ____.,"3,7 MBq.|3,7 MBq.|37,0 MBq.|3,7 GBq.|37,0 GBq.","3,7 MBq.",
T136,Módulo II – Dosimetria I,"A unidade SI para dose absorvida, o gray (Gy), é definida como _____.",Um Coulomb por quilograma de ar.|Desintegrações por segundo.|Um joule por quilograma de matéria.|O número de partículas que atravessam uma unidade de área.|Nenhuma das opções acima é verdadeira.,Um Coulomb por quilograma de ar.,
T137,Módulo II – Dosimetria I,Qual dos seguintes tipos de ondas NÃO PODE viajar no vácuo?,Ultrassom.|Luz visível.|Raios-x.|Raios gama.|Micro-ondas.,Ultrassom.,
T138,Módulo II – Dosimetria I,"Dada uma meia-vida biológica de 6,3 horas e uma meia-vida física de 1,8 horas, _______ é a meia vida efetiva.","0,4 horas.|1,4 horas.|2,5 horas.|4,5 horas.|8,1 horas.","0,4 horas.",
